Date,gross_return,transaction_cost,portfolio_return,turnover,equity_curve,benchmark_return,benchmark_equity
2010-06-01,0.0,0.0,0.0,0.0,1.0,-0.01682358521915539,0.9527292897611489
2010-06-02,0.0,0.0,0.0,0.0,1.0,0.026039274748435703,0.9775376694981215
2010-06-03,0.0,0.0,0.0,0.0,1.0,0.0034445263196454246,0.9809048237291527
2010-06-04,0.0,0.0,0.0,0.0,1.0,-0.03513722645653661,0.9464385488054723
2010-06-07,0.0,0.0,0.0,0.0,1.0,-0.012450845483821138,0.9346545886743635
2010-06-08,0.0,0.0,0.0,0.0,1.0,0.010712010113828718,0.9446666180811797
2010-06-09,0.0,0.0,0.0,0.0,1.0,-0.005346003988216164,0.9396164265733831
2010-06-10,0.0,0.0,0.0,0.0,1.0,0.02923146618104755,0.9670827923699197
2010-06-11,0.0,0.0,0.0,0.0,1.0,0.004855899954728793,0.9717788496576077
2010-06-14,0.0,0.0,0.0,0.0,1.0,-0.0015498897856152105,0.9702726995446466
2010-06-15,0.0,0.0,0.0,0.0,1.0,0.022737700606860534,0.992334469693903
2010-06-16,0.0,0.0,0.0,0.0,1.0,-0.0003576858298021124,0.9919795257156694
2010-06-17,0.0,0.0,0.0,0.0,1.0,0.001607940001924657,0.9935745692761578
2010-06-18,0.0,0.0,0.0,0.0,1.0,0.0010838525529486276,0.9946514576096126
2010-06-21,0.0,0.0,0.0,0.0,1.0,-0.0028636857366777235,0.9918030884174902
2010-06-22,0.0,0.0,0.0,0.0,1.0,-0.016515523536181353,0.9754229411674737
2010-06-23,0.0,0.0,0.0,0.0,1.0,-0.0031034186954111975,0.9723957953759216
2010-06-24,0.0,0.0,0.0,0.0,1.0,-0.016570338071500434,0.956282868307237
2010-06-25,0.0,0.0,0.0,0.0,1.0,0.00418900471645256,0.9602887417528387
2010-06-28,0.0,0.0,0.0,0.0,1.0,-0.0031514854874824527,0.9572624057194119
2010-06-29,0.0,0.0,0.0,0.0,1.0,-0.03087544384443297,0.9277065040672354
2010-06-30,0.0,0.0,0.0,0.0,1.0,-0.009500113908261776,0.9188931866051614
2010-07-01,0.0,0.0,0.0,0.0,1.0,-0.004456390469612437,0.9147982397657823
2010-07-02,0.0,0.0,0.0,0.0,1.0,-0.005449443081217642,0.9098130988273806
2010-07-06,0.0,0.0,0.0,0.0,1.0,0.006556036983188518,0.9157778671510822
2010-07-07,0.0,0.0,0.0,0.0,1.0,0.03149607072817018,0.9446212716261655
2010-07-08,0.0,0.0,0.0,0.0,1.0,0.009894915928075232,0.9539682196927779
2010-07-09,0.0,0.0,0.0,0.0,1.0,0.007465283033851522,0.9610898624580839
2010-07-12,0.0,0.0,0.0,0.0,1.0,0.0006489442112060928,0.9617135561607749
2010-07-13,0.0,0.0,0.0,0.0,1.0,0.015088271962179878,0.9762241518458439
2010-07-14,0.0,0.0,0.0,0.0,1.0,-9.151926121009346e-05,0.9761348085326915
2010-07-15,0.0,0.0,0.0,0.0,1.0,0.0002739377033218471,0.9764022086602735
2010-07-16,0.0,0.0,0.0,0.0,1.0,-0.027534441549576294,0.94951751911704
2010-07-19,0.0,0.0,0.0,0.0,1.0,0.005906562714801611,0.9551259038925076
2010-07-20,0.0,0.0,0.0,0.0,1.0,0.011091046452040842,0.9657192496601269
2010-07-21,0.0,0.0,0.0,0.0,1.0,-0.01299734967953825,0.953167458880033
2010-07-22,0.0,0.0,0.0,0.0,1.0,0.022321402865966622,0.9744434937284239
2010-07-23,0.0,0.0,0.0,0.0,1.0,0.008679285979149132,0.9829009674810141
2010-07-26,0.0,0.0,0.0,0.0,1.0,0.010415415642657688,0.9931382895928992
2010-07-27,0.0,0.0,0.0,0.0,1.0,-8.968881243498483e-05,0.9930492161991219
2010-07-28,0.0,0.0,0.0,0.0,1.0,-0.006454096591374414,0.9866399806377841
2010-07-29,0.0,0.0,0.0,0.0,1.0,-0.00487290602785484,0.9818321767288117
2010-07-30,0.0,0.0,0.0,0.0,1.0,-0.00018089338790683307,0.9816545697800073
2010-08-02,0.0,0.0,0.0,0.0,1.0,0.022580752485832356,1.0038210686467959
2010-08-03,0.0,0.0,0.0,0.0,1.0,-0.004789054736446086,0.9990137146034486
2010-08-04,0.0,0.0,0.0,0.0,1.0,0.006683317320318238,1.0056904402654931
2010-08-05,0.0,0.0,0.0,0.0,1.0,-0.0010624748829720643,1.004621919432666
2010-08-06,0.0,0.0,0.0,0.0,1.0,-0.004075749162621545,1.000527332485787
2010-08-09,0.0,0.0,0.0,0.0,1.0,0.0053385293604277795,1.0058686770261729
2010-08-10,0.0,0.0,0.0,0.0,1.0,-0.005398645056820639,1.0004383490651347
2010-08-11,0.0,0.0,0.0,0.0,1.0,-0.027406936154805384,0.9730193991054877
2010-08-12,0.0,0.0,0.0,0.0,1.0,-0.006130256295311609,0.967054540808661
2010-08-13,0.0,0.0,0.0,0.0,1.0,-0.0029453139391864003,0.9642062615896638
2010-08-16,0.0,0.0,0.0,0.0,1.0,-0.0004620867265494599,0.9637607146745274
2010-08-17,0.0,0.0,0.0,0.0,1.0,0.012285314374040013,0.9756008180356535
2010-08-18,0.0,0.0,0.0,0.0,1.0,0.0018249146219762036,0.9773812062336986
2010-08-19,0.0,0.0,0.0,0.0,1.0,-0.0173970718128037,0.9603776352003662
2010-08-20,0.0,0.0,0.0,0.0,1.0,-0.0032437547135342193,0.9572624057194122
2010-08-23,0.0,0.0,0.0,0.0,1.0,-0.0038132696256357734,0.9536121060639193
2010-08-24,0.0,0.0,0.0,0.0,1.0,-0.01484339581964278,0.9394572641152094
2010-08-25,0.0,0.0,0.0,0.0,1.0,0.003885636705418305,0.9431076537438273
2010-08-26,0.0,0.0,0.0,0.0,1.0,-0.006702280381877479,0.9367866818181416
2010-08-27,0.0,0.0,0.0,0.0,1.0,0.015490042595696307,0.9512975474225857
2010-08-30,0.0,0.0,0.0,0.0,1.0,-0.014504787134935415,0.9374991789952349
2010-08-31,0.0,0.0,0.0,0.0,1.0,0.0,0.9374991789952349
2010-09-01,0.0,0.0,0.0,0.0,1.0,0.029911699577984896,0.9655413727919478
2010-09-02,0.0,0.0,0.0,0.0,1.0,0.00931226204269664,0.9745327470684515
2010-09-03,0.0,0.0,0.0,0.0,1.0,0.012971389784640408,0.9871737911885727
2010-09-07,0.0,0.0,0.0,0.0,1.0,-0.011272276732306574,0.9760460950314149
2010-09-08,0.0,0.0,0.0,0.0,1.0,0.007023103196144298,0.9829009674810142
2010-09-09,0.0,0.0,0.0,0.0,1.0,0.004618841666495843,0.9874408314236546
2010-09-10,0.0,0.0,0.0,0.0,1.0,0.005048546484769378,0.9924259723620562
2010-09-13,0.0,0.0,0.0,0.0,1.0,0.01112332096945412,1.003465044991062
2010-09-14,0.0,0.0,0.0,0.0,1.0,-0.0006212710511719344,1.0028416212077462
2010-09-15,0.0,0.0,0.0,0.0,1.0,0.0038171496839274344,1.0066696177851686
2010-09-16,0.0,0.0,0.0,0.0,1.0,-0.00026518160202759766,1.0064026675232118
2010-09-17,0.0,0.0,0.0,0.0,1.0,0.00037342681549623613,1.0067784852664519
2010-09-20,0.0,0.0,0.0,0.0,1.0,0.01529039607520044,1.0221725270661663
2010-09-21,0.0,0.0,0.0,0.0,1.0,-0.0020135790716639956,1.020114301858036
2010-09-22,0.0,0.0,0.0,0.0,1.0,-0.004913305172548732,1.015102168982126
2010-09-23,0.0,0.0,0.0,0.0,1.0,-0.008111656843890258,1.0068680085258543
